# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
38800 615.978 42.9159 -845.713 -802.797 8475.46
38900 606.122 42.2293 -846.45 -804.22 8480.94
39000 609.061 42.434 -846.135 -803.701 8480.28
39100 618.306 43.0781 -845.478 -802.4 8469.94
39200 628.558 43.7924 -844.656 -800.864 8511.56
39300 633.257 44.1198 -844.291 -800.171 8613.45
39400 619.475 43.1595 -845.399 -802.239 8481.76
39500 598.97 41.7309 -846.863 -805.132 8511.31
39600 598.787 41.7182 -846.946 -805.228 8630.01
39700 616.222 42.9329 -845.623 -802.69 8477.84
39800 632.241 44.049 -844.368 -800.319 8439.07
39900 630.062 43.8972 -844.609 -800.711 8628.97
40000 618.98 43.1251 -845.394 -802.269 8505.71
40100 608.947 42.4261 -846.296 -803.87 8462.41
40200 600.591 41.8439 -846.912 -805.068 8560.65
40300 597.467 41.6262 -847.037 -805.411 8533.2
40400 608.121 42.3685 -846.24 -803.871 8357.44
40500 624.799 43.5305 -845.032 -801.501 8521.09
40600 626.886 43.6759 -844.813 -801.138 8524.41
40700 609.17 42.4416 -846.32 -803.879 8369.4
40800 593.469 41.3477 -847.497 -806.149 8378.02
40900 596.677 41.5712 -847.276 -805.705 8398.16
41000 606.286 42.2407 -846.572 -804.331 8396.74
41100 612.55 42.6771 -845.94 -803.263 8389.8
41200 612.846 42.6978 -845.941 -803.243 8388.32
41300 589.864 41.0966 -847.591 -806.495 8386.85
41400 576.862 40.1907 -848.718 -808.528 8427.22
41500 590.489 41.1401 -847.562 -806.422 8448.02
41600 610.07 42.5043 -846.133 -803.628 8457.72
41700 615.489 42.8819 -845.687 -802.805 8472.89
41800 607.067 42.2951 -846.344 -804.049 8461.21
41900 584.133 40.6972 -848.115 -807.418 8383.07
42000 579.204 40.3538 -848.634 -808.281 8383.07
42100 588.427 40.9964 -847.838 -806.842 8342.98
42200 598.466 41.6958 -847.084 -805.388 8297.77
42300 605.46 42.1831 -846.507 -804.324 8319.32
42400 608.665 42.4065 -846.261 -803.854 8463.6
42500 601.497 41.907 -846.76 -804.853 8463.6
42600 586.088 40.8335 -848.163 -807.33 8497.98
42700 580.541 40.447 -848.543 -808.096 8554.08
42800 594.327 41.4075 -847.293 -805.885 8562.45
42900 612.987 42.7075 -846.016 -803.309 8566.96
43000 610.926 42.564 -846.132 -803.568 8560.62
43100 601.915 41.9361 -846.919 -804.983 8527.37
43200 594.454 41.4163 -847.44 -806.024 8531.99
43300 592.814 41.3021 -847.508 -806.206 8536.1
43400 594.841 41.4433 -847.438 -805.995 8528.58
43500 596.877 41.5851 -847.279 -805.693 8482.43
43600 598.656 41.7091 -847.006 -805.297 8488.75
43700 606.353 42.2454 -846.612 -804.366 8517.55
43800 606.356 42.2456 -846.499 -804.253 8474.66
43900 593.839 41.3735 -847.637 -806.264 8428.2
44000 578.503 40.305 -848.649 -808.344 8428.2
44100 578.995 40.3393 -848.569 -808.229 8365.12
44200 603.755 42.0644 -846.825 -804.76 8363.84
44300 615.402 42.8758 -845.842 -802.967 8443.96
44400 604.435 42.1117 -846.697 -804.585 8457
44500 589.65 41.0816 -847.755 -806.674 8478.85
44600 583.866 40.6787 -848.168 -807.49 8527.47
44700 586.331 40.8504 -848.044 -807.193 8458.85
44800 596.905 41.5871 -847.244 -805.657 8409.16
44900 622.613 43.3782 -845.158 -801.78 8397.41
45000 618.519 43.093 -845.542 -802.449 8369.99
45100 596.676 41.5712 -847.146 -805.575 8454.99
45200 586.463 40.8596 -848.047 -807.188 8558.88
45300 580.752 40.4617 -848.482 -808.021 8433.17
45400 579.674 40.3866 -848.498 -808.111 8359.34
45500 591.897 41.2382 -847.575 -806.337 8359.34
45600 607.481 42.3239 -846.369 -804.045 8393.11
45700 601.963 41.9395 -846.712 -804.772 8419.64
45800 580.185 40.4222 -848.54 -808.117 8419.64
45900 574.175 40.0035 -849.041 -809.037 8403.47
46000 579.838 40.398 -848.592 -808.194 8349.33
46100 591.351 41.2001 -847.598 -806.398 8349.33
46200 609.554 42.4684 -846.241 -803.773 8424.82
46300 623.026 43.407 -845.188 -801.781 8486.59
46400 602.604 41.9841 -846.857 -804.872 8488.9
46500 581.269 40.4977 -848.467 -807.969 8525.13
46600 572.947 39.9179 -849.125 -809.207 8525.13
46700 571.632 39.8263 -849.255 -809.429 8596.35
46800 581.099 40.4859 -848.456 -807.97 8605.16
46900 599.708 41.7824 -847.109 -805.327 8605.16
47000 601.005 41.8727 -846.98 -805.107 8409.17
47100 574.682 40.0388 -848.869 -808.83 8347.28
47200 567.021 39.5051 -849.681 -810.176 8347.28
47300 573.271 39.9405 -849.109 -809.168 8409.85
47400 586.009 40.8279 -848.13 -807.302 8477.64
47500 595.559 41.4933 -847.369 -805.876 8565.43
47600 590.138 41.1156 -847.67 -806.554 8588.77
47700 567.151 39.5141 -849.482 -809.968 8583.72
47800 559.601 38.9881 -850.102 -811.114 8420.33
47900 569.848 39.702 -849.44 -809.738 8420.33
48000 587.045 40.9001 -847.926 -807.026 8420.33
48100 590.808 41.1623 -847.581 -806.419 8459.27
48200 584.471 40.7208 -848.207 -807.486 8517.68
48300 577.893 40.2625 -848.769 -808.507 8517.68
48400 569.875 39.7039 -849.219 -809.515 8523.38
48500 563.21 39.2395 -849.884 -810.645 8528.86
48600 551.742 38.4406 -850.735 -812.295 8528.86
48700 545.619 38.0139 -851.239 -813.225 8556.29
48800 561.954 39.1521 -850.002 -810.85 8673.23
48900 578.499 40.3048 -848.677 -808.372 8673.23
49000 579.218 40.3548 -848.584 -808.229 8642.01
49100 567.752 39.556 -849.371 -809.815 8613.19
49200 549.12 38.2579 -851.016 -812.758 8536.6
49300 543.919 37.8955 -851.435 -813.54 8400.44
49400 566.097 39.4406 -849.726 -810.285 8400.44
49500 577.555 40.239 -848.59 -808.351 8400.44
49600 572.752 39.9043 -849.165 -809.261 8426.16
49700 559.899 39.0088 -850.061 -811.052 8483.41
49800 552.003 38.4587 -850.724 -812.265 8483.41
49900 557.517 38.8429 -850.451 -811.608 8483.41
50000 577.762 40.2534 -848.707 -808.454 8483.41
50100 584.719 40.7381 -848.158 -807.42 8483.41
50200 574.006 39.9917 -849.027 -809.035 8483.41
50300 564.841 39.3532 -849.856 -810.503 8467.45
50400 561.139 39.0952 -850.049 -810.953 8389.5
50500 560.891 39.0779 -849.978 -810.901 8389.5
50600 564.45 39.3259 -849.639 -810.313 8389.5
50700 576.774 40.1846 -848.816 -808.631 8389.5
50800 582.332 40.5717 -848.327 -807.755 8389.5
50900 567.351 39.528 -849.559 -810.031 8389.5
